id,nom_latin,nom_commun_actuel,wikipedia_trouve,titre_wikipedia,nom_commun_correct
837,Saltator grossus,Saltator ardoisé,oui,Saltator ardoisé,
735,Saltator olivascens,Saltator de Cabanis,oui,Saltator de Cabanis,
554,Saltator maximus,Saltator grands-bois,oui,Saltator grands-bois,
814,Hylocharis sapphirina,Saphir à gorge rousse,oui,Saphir à gorge rousse,
915,Chlorestes cyanus,Saphir azuré,oui,Saphir azuré,
828,Sclerurus rufigularis,Sclérure à bec court,oui,Sclérure à bec court,
520,Sclerurus caudacutus,Sclérure des ombres,oui,Sclérure des ombres,
605,Sclerurus obscurior,Sclérure obscur,oui,Sclérure obscur,
812,Microxenops milleri,Sittine à queue rousse,oui,Sittine à queue rousse,
759,Xenops minutus,Sittine brune,oui,Sittine brune,
842,Xenops tenuirostris,Sittine des rameaux,oui,Sittine des rameaux,
840,Vireolanius leucotis,Smaragdan oreillard,oui,Smaragdan oreillard,
804,Cyclarhis gujanensis,Sourciroux mélodieux,oui,Sourciroux mélodieux,
945,Sporophila americana,Sporophile à ailes blanches,oui,Sporophile à ailes blanches,
566,Sporophila castaneiventris,Sporophile à ventre châtain,oui,Sporophile à ventre châtain,
950,Sporophila nigricollis,Sporophile à ventre jaune,oui,Sporophile à ventre jaune,
702,Sporophila lineola,Sporophile bouveron,oui,Sporophile bouveron,
565,Sporophila angolensis,Sporophile curio,oui,Sporophile curio,
766,Sporophila plumbea,Sporophile gris-de-plomb,oui,Sporophile gris-de-plomb,
797,Sporophila minuta,Sporophile petit-louis,oui,Sporophile petit-louis,
690,Phaetusa simplex,Sterne à gros bec,oui,Sterne à gros bec,
953,Sternula superciliaris,Sterne argentée,oui,Sterne argentée,
791,Thalasseus maximus,Sterne royale,oui,Sterne royale,
611,Sturnella magna,Sturnelle des prés,oui,Sturnelle des prés,
776,Leistes militaris,Sturnelle militaire,oui,Sturnelle militaire,
486,Coereba flaveola,Sucrier à ventre jaune,oui,Sucrier à ventre jaune,
955,Certhiaxis cinnamomeus,Synallaxe à gorge jaune,oui,Synallaxe à gorge jaune,
911,Mazaria propinqua,Synallaxe à ventre blanc,oui,Synallaxe à ventre blanc,
744,Synallaxis albescens,Synallaxe albane,oui,Synallaxe albane,
763,Synallaxis gujanensis,Synallaxe de Cayenne,oui,Synallaxe de Cayenne,
722,Synallaxis macconnelli,Synallaxe de McConnell,oui,Synallaxe de McConnell,
853,Cranioleuca gutturata,Synallaxe ponctué,oui,Synallaxe ponctué,
485,Porphyrio flavirostris,Talève favorite,oui,Talève favorite,
585,Bucco capensis,Tamatia à collier,oui,Tamatia à collier,
672,Notharchus macrorhynchos,Tamatia à gros bec,oui,Tamatia à gros bec,
863,Bucco tamatia,Tamatia tacheté,oui,Tamatia tacheté,
835,Ramphocelus carbo,Tangara à bec d'argent,oui,Tangara à bec d'argent,
685,Nemosia pileata,Tangara à capuchon,oui,Piranga à capuchon,
621,Tachyphonus surinamus,Tangara à crête fauve,oui,Tangara à crête fauve,
616,Loriotus cristatus,Tangara à crête rouge,oui,Habia à crête rouge,
738,Tangara velia,Tangara à croupion opale,oui,Calliste à sourcils clairs,
782,Tachyphonus phoenicius,Tangara à épaules rouges,oui,Tangara à galons rouges,
514,Schistochlamys melanopis,Tangara à face noire,oui,Tangara à camail,
924,Tachyphonus rufus,Tangara à galons blancs,oui,Tangara à galons blancs,
534,Cyanicterus cyanicterus,Tangara cyanictère,oui,Tangara cyanictère,
748,Thraupis palmarum,Tangara des palmiers,oui,Tangara des palmiers,
646,Chlorophanes spiza,Tangara émeraude,oui,Tangara émeraude,
538,Thraupis episcopus,Tangara évêque,oui,Tangara évêque,
681,Hemithraupis guira,Tangara guira,oui,Tangara guira,
620,Lanio fulvus,Tangara mordoré,oui,Tangara mordoré,
774,Lamprospiza melanoleuca,Tangara noir et blanc,oui,Tangara noir et blanc,
865,Ixothraupis punctata,Tangara tacheté,oui,Calliste syacou,
876,Piranga rubra,Tangara vermillon,oui,Piranga vermillon,
946,Mycteria americana,Tantale d'Amérique,oui,Tantale d'Amérique,
805,Formicarius colma,Tétéma colma,oui,Tétéma colma,
512,Formicarius analis,Tétéma coq-de-bois,oui,Tétéma coq-de-bois,
576,Crypturellus cinereus,Tinamou cendré,oui,Tinamou cendré,
816,Crypturellus brevirostris,Tinamou rubigineux,oui,Tinamou rubigineux,
899,Crypturellus variegatus,Tinamou varié,oui,Tinamou varié,
511,Tityra inquisitor,Tityre à tête noire,oui,Tityre à tête noire,
521,Tityra cayana,Tityre gris,oui,Tityre gris,
719,Odontophorus gujanensis,Tocro de Guyane,oui,Tocro de Guyane,
843,Poecilotriccus fumifrons,Todirostre à front gris,oui,Todirostre à front gris,
542,Hemitriccus josephinae,Todirostre de Joséphine,oui,Todirostre de Joséphine,
591,Todirostrum cinereum,Todirostre familier,oui,Todirostre familier,
743,Todirostrum pictum,Todirostre peint,oui,Todirostre peint,
866,Todirostrum maculatum,Todirostre tacheté,oui,Todirostre tacheté,
920,Hemitriccus zosterops,Todirostre zostérops,oui,Todirostre zostérops,
754,Arremon taciturnus,Tohi silencieux,oui,Tohi silencieux,
934,Ramphastos tucanus,Toucan à bec rouge,oui,Toucan à bec rouge,
562,Ramphastos vitellinus,Toucan ariel,oui,Toucan ariel,
885,Ramphastos toco,Toucan toco,oui,Toucan toco,
676,Selenidera piperivora,Toucanet koulik,oui,Toucanet koulik,
819,Touit purpuratus,Toui à queue pourprée,oui,Toui à queue pourprée,
699,Touit batavicus,Toui à sept couleurs,oui,Toui à sept couleurs,
652,Forpus passerinus,Toui été,oui,Toui été,
634,Brotogeris chrysoptera,Toui para,oui,Toui para,
551,Cantorchilus leucotis,Troglodyte à face pâle,oui,Troglodyte à face pâle,
912,Henicorhina leucosticta,Troglodyte à poitrine blanche,oui,Troglodyte à poitrine blanche,
726,Cyphorhinus arada,Troglodyte arada,oui,Troglodyte arada,
943,Microcerculus bambla,Troglodyte bambla,oui,Troglodyte bambla,
592,Pheugopedius coraya,Troglodyte coraya,oui,Troglodyte coraya,
687,Troglodytes aedon,Troglodyte mignon,oui,Troglodyte mignon,
651,Trogon viridis,Trogon à queue blanche,oui,Trogon à queue blanche,
522,Trogon melanurus,Trogon à queue noire,oui,Trogon à queue noire,
526,Trogon rufus,Trogon aurore,oui,Trogon aurore,
586,Trogon collaris,Trogon rosalba,oui,Trogon rosalba,
677,Trogon violaceus,Trogon violacé,oui,Trogon violacé,
609,Myiozetetes luteiventris,Tyran à gorge rayée,oui,Tyran à gorge rayée,
870,Myiodynastes maculatus,Tyran audacieux,oui,Tyran audacieux,
818,Myiozetetes cayanensis,Tyran de Cayenne,oui,Tyran de Cayenne,
964,Conopias parvus,Tyran de Pelzeln,oui,Tyran de Pelzeln,
887,Sirystes subcanescens,Tyran de Todd,oui,Tyran de Todd,
549,Myiarchus tyrannulus,Tyran de Wied,oui,Tyran de Wied,
875,Tyrannopsis sulphurea,Tyran des palmiers,oui,Tyran des palmiers,
829,Myiarchus ferox,Tyran féroce,oui,Tyran féroce,
696,Philohydor lictor,Tyran licteur,oui,Tyran licteur,
891,Tyrannus melancholicus,Tyran mélancolique,oui,Tyran mélancolique,
608,Myiarchus tuberculifer,Tyran olivâtre,oui,Tyran olivâtre,
758,Legatus leucophaius,Tyran pirate,oui,Tyran pirate,
541,Megarynchus pitangua,Tyran pitangua,oui,Tyran pitangua,
639,Pitangus sulphuratus,Tyran quiquivi,oui,Tyran quiquivi,
846,Myiozetetes similis,Tyran sociable,oui,Tyran sociable,
493,Polystictus pectoralis,Tyranneau barbu,oui,Tyranneau barbu,
728,Sublegatus arenarum,Tyranneau des palétuviers,oui,Tyranneau des palétuviers,
948,Capsiempis flaveola,Tyranneau flavéole,oui,Tyranneau flavéole,
746,Inezia caudata,Tyranneau frangé,oui,Tyranneau frangé,
926,Ornithion inerme,Tyranneau minute,oui,Tyranneau minute,
848,Phyllomyias griseiceps,Tyranneau nain,oui,Tyranneau nain,
850,Camptostoma obsoletum,Tyranneau passegris,oui,Tyranneau passegris,
958,Tyrannulus elatus,Tyranneau roitelet,oui,Tyranneau roitelet,
725,Phaeomyias murina,Tyranneau souris,oui,Tyranneau souris,
737,Phylloscartes virescens,Tyranneau verdâtre,oui,Tyranneau verdâtre,
678,Zimmerius acer,Tyranneau vif,oui,Tyranneau vif,
623,Molothrus oryzivorus,Vacher géant,oui,Vacher géant,
827,Molothrus bonariensis,Vacher luisant,oui,Vacher luisant,
500,Coragyps atratus,Vautour noir,oui,Urubu noir,
527,Vireo altiloquus,Viréo à moustaches,oui,Viréo à moustaches,
572,Vireo chivi,Viréo chivi,oui,Viréo chivi,
882,Tunchiornis ochraceiceps,Viréon à calotte rousse,oui,Viréon à calotte rousse,
662,Hylophilus semicinereus,Viréon à gorge grise,oui,Viréon à gorge grise,
694,Hylophilus thoracicus,Viréon à plastron,oui,Viréon à plastron,
484,Hylophilus pectoralis,Viréon à tête cendrée,oui,Viréon à tête cendrée,
552,Pachysylvia muscicapina,Viréon fardé,oui,Viréon fardé,
