id,nom_latin,nom_commun_actuel,wikipedia_trouve,titre_wikipedia,nom_commun_correct
896,Tangara mexicana,Calliste diable-enrhumé,oui,Calliste diable-enrhumé,
556,Stilpnia cayana,Calliste passevert,oui,Calliste passevert,
750,Tangara chilensis,Calliste septicolore,oui,Calliste septicolore,
661,Campylopterus largipennis,Campyloptère à ventre gris,oui,Campyloptère à ventre gris,
783,Ibycter americanus,Caracara à gorge rouge,oui,Caracara à gorge rouge,
960,Milvago chimachima,Caracara à tête jaune,oui,Caracara à tête jaune,
771,Periporphyrus erythromelas,Cardinal érythromèle,oui,Cardinal érythromèle,
959,Caryothraustes canadensis,Cardinal flavert,oui,Cardinal flavert,
583,Micrastur semitorquatus,Carnifex à collier,oui,Carnifex à collier,
701,Micrastur gilvicollis,Carnifex à gorge cendrée,oui,Carnifex à gorge cendrée,
839,Micrastur mirandollei,Carnifex ardoisé,oui,Carnifex ardoisé,
491,Micrastur ruficollis,Carnifex barré,oui,Carnifex barré,
961,Chrysomus icterocephalus,Carouge à capuchon,oui,Carouge à capuchon,
963,Cacicus cela,Cassique cul-jaune,oui,Cassique cul-jaune,
780,Cacicus haemorrhous,Cassique cul-rouge,oui,Cassique cul-rouge,
595,Psarocolius decumanus,Cassique huppé,oui,Cassique huppé,
648,Psarocolius viridis,Cassique vert,oui,Cassique vert,
877,Eurypyga helias,Caurale soleil,oui,Caurale soleil,
864,Actitis macularius,Chevalier grivelé,oui,Chevalier grivelé,
847,Tringa solitaria,Chevalier solitaire,oui,Chevalier solitaire,
475,Glaucidium hardyi,Chevêchette d'Amazonie,oui,Chevêchette d'Amazonie,
854,Pulsatrix perspicillata,Chouette à lunettes,oui,Chouette à lunettes,
557,Athene cunicularia,Chouette des terriers,oui,Chevêche des terriers,
502,Strix huhula,Chouette huhul,oui,Chouette huhul,
723,Strix virgata,Chouette mouchetée,oui,Chouette mouchetée,
537,Chlorestes notata,Colibri à menton bleu,oui,Colibri à menton bleu,
546,Colibri delphinae,Colibri de Delphine,oui,Colibri de Delphine,
927,Florisuga mellivora,Colibri jacobin,oui,Colibri jacobin,
792,Chrysolampis mosquitus,Colibri rubis-topaze,oui,Colibri rubis-topaze,
597,Topaza pella,Colibri topaze,oui,Colibri topaze,
653,Polytmus theresiae,Colibri tout-vert,oui,Colibri tout-vert,
665,Leptotila rufaxilla,Colombe à front gris,oui,Colombe à front gris,
588,Columbina passerina,Colombe à queue noire,oui,Colombe à queue noire,
935,Leptotila verreauxi,Colombe de Verreaux,oui,Colombe de Verreaux,
794,Columbina talpacoti,Colombe rousse,oui,Colombe rousse,
796,Geotrygon montana,Colombe rouviolette,oui,Colombe rouviolette,
494,Conirostrum bicolor,Conirostre bicolore,oui,Conirostre bicolore,
571,Conirostrum speciosum,Conirostre cul-roux,oui,Conirostre cul-roux,
567,Conopophaga aurita,Conopophage à oreilles blanches,oui,Conopophage à oreilles blanches,
550,Eupsittula pertinax,Conure cuivrée,oui,Conure cuivrée,
919,Psittacara leucophthalmus,Conure pavouane,oui,Conure pavouane,
742,Pyrrhura picta,Conure versicolore,oui,Conure versicolore,
670,Rupicola rupicola,Coq-de-roche orange,oui,Coq-de-roche orange,
895,Lophornis ornatus,Coquette huppe-col,oui,Coquette huppe-col,
559,Perissocephalus tricolor,Coracine chauve,oui,Coracine chauve,
769,Querula purpurata,Coracine noire,oui,Coracine noire,
785,Corythopis torquatus,Corythopis à collier,oui,Corythopis à collier,
673,Phoenicircus carnifex,Cotinga ouette,oui,Cotinga ouette,
767,Xipholena punicea,Cotinga pompadour,oui,Cotinga pompadour,
951,Coccyzus americanus,Coulicou à bec jaune,oui,Coulicou à bec jaune,
753,Coccyzus euleri,Coulicou d'Euler,oui,Coulicou d'Euler,
715,Coccyzus minor,Coulicou manioc,oui,Coulicou manioc,
688,Numenius hudsonicus,Courlis hudsonien,oui,Courlis hudsonien,
473,Cyanoloxia rothschildii,Cyanoloxia rothschildii,oui,Cyanoloxia rothschildii,
531,Dacnis cayana,Dacnis bleu,oui,Dacnis bleu,
505,Dendrocygna autumnalis,Dendrocygne à ventre noir,oui,Dendrocygne à ventre noir,
507,Donacobius atricapilla,Donacobe à miroir,oui,Donacobe à miroir,
619,Thalurania furcata,Dryade à queue fourchue,oui,Dryade à queue fourchue,
596,Lophostrix cristata,Duc à aigrettes,oui,Duc à aigrettes,
518,Himantopus mexicanus,Échasse d'Amérique,oui,Échasse d'Amérique,
477,Tyto furcata,Effraie d'Amérique,oui,Effraie d'Amérique,
956,Myiopagis flavivertex,Élénie à couronne d'or,oui,Élénie à couronne d'or,
949,Elaenia flavogaster,Élénie à ventre jaune,oui,Élénie à ventre jaune,
618,Myiopagis gaimardii,Élénie de Gaimard,oui,Élénie de Gaimard,
658,Myiopagis caniceps,Élénie grise,oui,Élénie grise,
762,Elaenia cristata,Élénie huppée,oui,Élénie huppée,
695,Elaenia chiriquensis,Élénie menue,oui,Élénie menue,
807,Elaenia ruficeps,Élénie tête-de-feu,oui,Élénie tête-de-feu,
540,Chlorostilbon mellisugus,Émeraude orvert,oui,Émeraude orvert,
830,Lurocalis semitorquatus,Engoulevent à queue courte,oui,Engoulevent à queue courte,
859,Hydropsalis maculicaudus,Engoulevent à queue étoilée,oui,Engoulevent à queue étoilée,
931,Hydropsalis cayennensis,Engoulevent coré,oui,Engoulevent coré,
489,Nyctiprogne leucopyga,Engoulevent leucopyge,oui,Engoulevent leucopyge,
697,Chordeiles acutipennis,Engoulevent minime,oui,Engoulevent minime,
529,Nyctipolus nigrescens,Engoulevent noirâtre,oui,Engoulevent noirâtre,
751,Nyctidromus albicollis,Engoulevent pauraqué,oui,Engoulevent pauraqué,
801,Antrostomus rufus,Engoulevent roux,oui,Engoulevent roux,
689,Hydropsalis climacocerca,Engoulevent trifide,oui,Engoulevent trifide,
642,Phaethornis malaris,Ermite à long bec,oui,Ermite à long bec,
709,Phaethornis superciliosus,Ermite à longue queue,oui,Ermite à longue queue,
868,Phaethornis bourcieri,Ermite de Bourcier,oui,Ermite de Bourcier,
803,Glaucis hirsutus,Ermite hirsute,oui,Ermite hirsute,
706,Phaethornis longuemareus,Ermite nain,oui,Ermite nain,
784,Phaethornis ruber,Ermite roussâtre,oui,Ermite roussâtre,
838,Buteogallus schistaceus,Faucon ardoisé,oui,Faucon ardoisé,
492,Falco rufigularis,Faucon des chauves-souris,oui,Faucon des chauves-souris,
813,Gymnopithys rufigula,Fourmilier à gorge rousse,oui,Fourmilier à gorge rousse,
929,Pithys albifrons,Fourmilier manikup,oui,Fourmilier manikup,
856,Hylophylax naevius,Fourmilier tacheté,oui,Fourmilier tacheté,
590,Willisornis poecilinotus,Fourmilier zébré,oui,Willisornis poecilinotus,
587,Gallinula galeata,Gallinule d'Amérique,oui,Gallinule d'Amérique,
561,Cyanocorax cayanus,Geai de Cayenne,oui,Geai de Cayenne,
752,Dromococcyx pavoninus,Géocoucou pavonin,oui,Géocoucou pavonin,
872,Tapera naevia,Géocoucou tacheté,oui,Géocoucou tacheté,
671,Polioptila guianensis,Gobemoucheron guyanais,oui,Gobemoucheron guyanais,
890,Polioptila plumbea,Gobemoucheron tropical,oui,Gobemoucheron tropical,
883,Myrmothera campanisona,Grallaire grand-beffroi,oui,Grallaire grand-beffroi,
898,Grallaria varia,Grallaire roi,oui,Grallaire roi,
862,Hylopezus macularius,Grallaire tachetée,oui,Grallaire tachetée,
790,Granatellus pelzelni,Granatelle de Pelzeln,oui,Granatelle de Pelzeln,
636,Taraba major,Grand Batara,oui,Grand Batara,
644,Tringa melanoleuca,Grand Chevalier,oui,Grand Chevalier,
640,Nyctibius grandis,Grand Ibijau,oui,Grand Ibijau,
638,Jacamerops aureus,Grand Jacamar,oui,Grand Jacamar,
904,Emberizoides herbicola,Grand Tardivole,oui,Grand Tardivole,
641,Tinamus major,Grand Tinamou,oui,Grand Tinamou,
878,Heliornis fulica,Grébifoulque d'Amérique,oui,Grébifoulque d'Amérique,
600,Campylorhamphus procurvoides,Grimpar à bec courbe,oui,Grimpar à bec courbe,
581,Dendrexetastes rufigula,Grimpar à collier,oui,Grimpar à collier,
860,Certhiasomus stictolaemus,Grimpar à gorge tachetée,oui,Grimpar à gorge tachetée,
712,Deconychura longicauda,Grimpar à longue queue,oui,Grimpar à longue queue,
916,Dendrocincla merula,Grimpar à menton blanc,oui,Grimpar à menton blanc,
472,Dendrocolaptes certhia,Grimpar barré,oui,Grimpar barré,
903,Glyphorynchus spirurus,Grimpar bec-en-coin,oui,Grimpar bec-en-coin,
775,Hylexetastes perrotii,Grimpar de Perrot,oui,Grimpar de Perrot,
555,Xiphorhynchus guttatus,Grimpar des cabosses,oui,Grimpar des cabosses,
761,Dendrocincla fuliginosa,Grimpar enfumé,oui,Grimpar enfumé,
570,Xiphorhynchus pardalotus,Grimpar flambé,oui,Grimpar flambé,
680,Lepidocolaptes albolineatus,Grimpar lancéolé,oui,Grimpar lancéolé,
874,Xiphorhynchus obsoletus,Grimpar strié,oui,Grimpar strié,
869,Dendroplex picus,Grimpar talapiot,oui,Grimpar talapiot,
503,Dendrocolaptes picumnus,Grimpar varié,oui,Grimpar varié,
656,Cercomacra cinerascens,Grisin ardoisé,oui,Grisin ardoisé,
852,Formicivora grisea,Grisin de Cayenne,oui,Grisin de Cayenne,
